duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender
11 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,3010,1,1982,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,5398,1,1984,Male
10 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,4929,3,1982,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3388,2,1968,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),290,2,1956,Male
2 minutes,22,Howard St at Beale St,20,Mechanics Monument Plaza (Market St at Bush St),3551,2,1985,Male
5 minutes,3,Powell St BART Station (Market St at 4th St),370,Jones St at Post St,4671,2,1993,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),20,Mechanics Monument Plaza (Market St at Bush St),5425,2,1988,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,5041,2,1975,Male
12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,2955,2,1982,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),27,Beale St at Harrison St,2648,1,1995,Male
10 minutes,22,Howard St at Beale St,76,McCoppin St at Valencia St,5059,2,1979,Female
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),3506,3,1969,Male
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,5037,2,1985,Female
9 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4619,3,1990,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5484,3,1989,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),90,Townsend St at 7th St,223,1,1994,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,2093,3,1983,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,3084,2,1964,Female
10 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,1710,2,1987,Male
6 minutes,5,Powell St BART Station (Market St at 5th St),350,8th St at Brannan St,3654,1,1980,Male
6 minutes,81,Berry St at 4th St,345,Hubbell St at 16th St,5130,3,1973,Male
7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),5,Powell St BART Station (Market St at 5th St),4988,2,1988,Male
15 minutes,16,Steuart St at Market St,126,Esprit Park,5344,1,1986,Female
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),5120,3,1986,Male
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5518,2,1973,Male
5 minutes,81,Berry St at 4th St,349,Howard St at Mary St,5555,1,1982,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5327,1,1994,Female
7 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,5162,3,1994,Male
6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2721,2,1995,Male
20 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5412,2,1985,Male
2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,3542,1,1969,Male
12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,300,2,1993,Male
9 minutes,81,Berry St at 4th St,355,23rd St at Tennessee St,5217,1,1994,Male
6 minutes,3,Powell St BART Station (Market St at 4th St),30,San Francisco Caltrain (Townsend St at 4th St),3462,2,1974,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,4772,3,1985,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),25,Howard St at 2nd St,5498,2,1972,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),4625,3,1979,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,2804,2,1977,Male
6 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,5222,3,1979,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),37,2nd St at Folsom St,4945,3,1988,Male
8 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5257,3,1961,Male
4 minutes,81,Berry St at 4th St,64,5th St at Brannan St,4759,2,1985,Male
9 minutes,22,Howard St at Beale St,80,Townsend St at 5th St,5084,3,1985,Male
5 minutes,22,Howard St at Beale St,8,The Embarcadero at Vallejo St,4760,1,1989,Male
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),93,4th St at Mission Bay Blvd S,3642,2,1974,Male
13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),59,S Van Ness Ave at Market St,5569,3,1987,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,3246,2,1978,Male
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,5460,3,1987,Female
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,200,2,1986,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),1808,2,1981,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,5030,2,1985,Female
9 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),5037,2,1994,Female
7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,2319,2,1967,Male
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,1700,3,1976,Male
15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),60,8th St at Ringold St,5574,2,1991,Female
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),4570,1,1969,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4953,1,1971,Male
7 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,5392,2,1979,Male
12 minutes,21,Montgomery St BART Station (Market St at 2nd St),93,4th St at Mission Bay Blvd S,4426,2,1986,Female
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5468,2,1991,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4852,2,1990,Male
10 minutes,5,Powell St BART Station (Market St at 5th St),285,Webster St at O'Farrell St,5113,1,1964,Female
5 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,1019,2,1993,Male
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,4970,2,1982,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),78,Folsom St at 9th St,4442,2,1988,Female
16 minutes,3,Powell St BART Station (Market St at 4th St),104,4th St at 16th St,5383,2,1983,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5050,3,1989,Female
9 minutes,22,Howard St at Beale St,5,Powell St BART Station (Market St at 5th St),4953,2,1985,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,4836,3,1988,Male
2 minutes,21,Montgomery St BART Station (Market St at 2nd St),13,Commercial St at Montgomery St,5132,3,1982,Male
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),343,Bryant St at 2nd St,5307,2,1983,Male
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,4319,1,1990,Male
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5282,2,1995,Female
9 minutes,22,Howard St at Beale St,349,Howard St at Mary St,1751,2,1986,Male
16 minutes,16,Steuart St at Market St,126,Esprit Park,4940,2,1968,Female
4 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,5267,3,1991,Male
7 minutes,81,Berry St at 4th St,24,Spear St at Folsom St,4962,2,1981,Male
7 minutes,22,Howard St at Beale St,50,2nd St at Townsend St,3105,2,1988,Female
3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5110,2,1986,Male
7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4817,2,1993,Male
4 minutes,81,Berry St at 4th St,104,4th St at 16th St,4554,2,1995,Female
3 minutes,3,Powell St BART Station (Market St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4996,1,1992,Male
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),3642,2,1993,Female
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5569,2,1977,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),27,Beale St at Harrison St,1450,2,1969,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,5084,1,1995,Male
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5009,2,1974,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),13,Commercial St at Montgomery St,4835,3,1995,Female
10 minutes,16,Steuart St at Market St,81,Berry St at 4th St,5162,1,1986,Male
12 minutes,22,Howard St at Beale St,102,Irwin St at 8th St,4597,1,1963,Female
6 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,1353,3,1990,Male
14 minutes,22,Howard St at Beale St,104,4th St at 16th St,5351,2,1982,Female
7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),21,Montgomery St BART Station (Market St at 2nd St),1841,3,1951,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,4806,2,1964,Male
7 minutes,22,Howard St at Beale St,349,Howard St at Mary St,2409,2,1987,Male
9 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,1183,2,1984,Male
11 minutes,22,Howard St at Beale St,41,Golden Gate Ave at Polk St,5288,3,1973,Female
4 minutes,22,Howard St at Beale St,21,Montgomery St BART Station (Market St at 2nd St),3681,2,1973,Female
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,4921,3,1967,Male
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5307,2,1994,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,2003,2,1972,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,4802,1,1979,Male
5 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4991,2,1971,Male
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5492,3,1961,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,5318,1,1990,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5282,2,1981,Male
5 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4719,3,1993,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),3128,1,1978,Male
6 minutes,22,Howard St at Beale St,343,Bryant St at 2nd St,933,1,1980,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,4722,3,1986,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),78,Folsom St at 9th St,5060,3,1988,Male
19 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,5306,2,1981,Female
5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,4654,2,1977,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,5097,2,1984,Male
15 minutes,21,Montgomery St BART Station (Market St at 2nd St),52,McAllister St at Baker St,5407,2,1993,Female
8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,4811,3,1973,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4742,1,1985,Male
19 minutes,16,Steuart St at Market St,99,Folsom St at 15th St,4999,1,1980,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),124,19th St at Florida St,4655,3,1983,Male
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,4438,1,1983,Male
12 minutes,81,Berry St at 4th St,9,Broadway at Battery St,5246,2,1995,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),5300,3,1986,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,5007,2,1988,Male
17 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,2861,2,1969,Female
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,4974,2,1985,Male
4 minutes,81,Berry St at 4th St,104,4th St at 16th St,75,2,1989,Female
11 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,623,2,1990,Male
11 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,2231,3,1992,Female
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5204,2,1990,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,5130,3,1986,Male
6 minutes,81,Berry St at 4th St,36,Folsom St at 3rd St,2366,2,1989,Female
12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5540,2,1970,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),8,The Embarcadero at Vallejo St,1099,2,1992,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),21,Montgomery St BART Station (Market St at 2nd St),762,2,1983,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),43,San Francisco Public Library (Grove St at Hyde St),3115,2,1968,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),9,Broadway at Battery St,590,2,1984,Other
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5410,3,1957,Male
15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,1891,2,1990,Female
12 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,611,2,1969,Male
5 minutes,22,Howard St at Beale St,321,5th St at Folsom,4924,3,1970,Female
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,5232,2,1985,Female
7 minutes,81,Berry St at 4th St,37,2nd St at Folsom St,1529,2,1991,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,4955,3,1975,Female
5 minutes,81,Berry St at 4th St,104,4th St at 16th St,3647,1,1983,Male
15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),6,The Embarcadero at Sansome St,2187,2,1987,Male
14 minutes,22,Howard St at Beale St,101,15th St at Potrero Ave,5022,1,1989,Female
8 minutes,81,Berry St at 4th St,22,Howard St at Beale St,430,3,1988,Male
4 minutes,5,Powell St BART Station (Market St at 5th St),63,Bryant St at 6th St,5357,2,1983,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,2847,2,1977,Male
13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),2119,1,1963,Male
16 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,3138,2,1971,Female
12 minutes,16,Steuart St at Market St,364,China Basin St at 3rd St,4825,2,1976,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,1917,1,1970,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),3661,1,1967,Male
6 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),5300,1,1996,Female
3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,2068,1,1981,Female
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),1908,3,1970,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5204,3,1993,Male
18 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),91,Berry St at King St,1109,2,1979,Female
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,1751,1,1963,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),2634,2,1986,Male
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,4603,3,1991,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),13,Commercial St at Montgomery St,5445,3,1987,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4711,2,1967,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,3451,3,1983,Female
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,1150,2,1990,Male
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),102,Irwin St at 8th St,3687,2,1980,Male
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,1821,2,1969,Female
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,377,2,1953,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,317,2,1990,Male
4 minutes,22,Howard St at Beale St,343,Bryant St at 2nd St,5552,2,1983,Male
9 minutes,81,Berry St at 4th St,20,Mechanics Monument Plaza (Market St at Bush St),5281,2,1988,Male
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),30,San Francisco Caltrain (Townsend St at 4th St),4811,1,1982,Female
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),3369,2,1983,Male
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),30,San Francisco Caltrain (Townsend St at 4th St),4438,2,1971,Male
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),89,Division St at Potrero Ave,2738,2,1975,Female
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4940,2,1984,Male
9 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,4575,1,1982,Female
9 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4852,3,1989,Male
7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),36,Folsom St at 3rd St,5059,2,1962,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,5261,2,1981,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,5045,2,1986,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),49,S Park St at 3rd St,5009,3,1974,Male
18 minutes,22,Howard St at Beale St,383,Golden Gate Ave at Franklin St,1921,2,1977,Female
7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),363,Salesforce Transit Center (Natoma St at 2nd St),4960,1,1974,Female
17 minutes,30,San Francisco Caltrain (Townsend St at 4th St),60,8th St at Ringold St,4761,2,1988,Female
9 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,4553,2,1994,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),9,Broadway at Battery St,4658,1,1990,Male
6 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,5343,3,1970,Male
9 minutes,22,Howard St at Beale St,104,4th St at 16th St,5392,1,1992,Male
2 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,5354,3,1982,Male
16 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,1360,2,1982,Female
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5031,3,1988,Female
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,4921,1,1962,Male
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),21,Montgomery St BART Station (Market St at 2nd St),1085,3,1960,Male
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,4979,3,1985,Male
14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),368,Myrtle St at Polk St,4625,2,1989,Female
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5112,2,1995,Female
9 minutes,21,Montgomery St BART Station (Market St at 2nd St),64,5th St at Brannan St,5421,2,1991,Male
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,4980,1,1986,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,1442,3,1976,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5233,1,1964,Male
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5492,1,1980,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),4438,3,1977,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,300,3,1963,Male
11 minutes,22,Howard St at Beale St,102,Irwin St at 8th St,4977,2,1990,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4733,2,1982,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),14,Clay St at Battery St,3374,2,1959,Male
6 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,4750,2,1979,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),100,Bryant St at 15th St,4973,2,1989,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4802,2,1997,Female
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),58,Market St at 10th St,4955,2,1978,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,5262,2,1986,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),44,Civic Center/UN Plaza BART Station (Market St at McAllister St),1544,2,1973,Male
15 minutes,22,Howard St at Beale St,130,22nd St Caltrain Station,5396,2,1986,Female
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,4805,3,1988,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),25,Howard St at 2nd St,5409,2,1981,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),4960,2,1967,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),24,Spear St at Folsom St,5037,2,1966,Male
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),114,Rhode Island St at 17th St,4924,2,1991,Male
7 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,4575,2,1990,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),27,Beale St at Harrison St,4908,2,1965,Male
22 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,1392,3,1996,Female
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,5515,1,1971,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),88,11th St at Bryant St,4821,2,1989,Male
6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5421,3,1992,Male
6 minutes,22,Howard St at Beale St,8,The Embarcadero at Vallejo St,4728,1,1984,Male
13 minutes,22,Howard St at Beale St,59,S Van Ness Ave at Market St,5520,3,1972,Female
7 minutes,81,Berry St at 4th St,25,Howard St at 2nd St,5495,1,1977,Male
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5063,2,1979,Male
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,4953,2,1984,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,4658,2,1992,Female
5 minutes,22,Howard St at Beale St,50,2nd St at Townsend St,4557,3,1994,Male
12 minutes,81,Berry St at 4th St,20,Mechanics Monument Plaza (Market St at Bush St),5389,1,1991,Male
3 minutes,81,Berry St at 4th St,91,Berry St at King St,5381,3,1990,Female
9 minutes,22,Howard St at Beale St,9,Broadway at Battery St,6235,2,1973,Male
10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),16,Steuart St at Market St,5540,1,1993,Male
5 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,2884,2,1956,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),42,San Francisco City Hall (Polk St at Grove St),5232,2,1984,Female
6 minutes,3,Powell St BART Station (Market St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),4979,3,1992,Male
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5141,2,1980,Male
7 minutes,16,Steuart St at Market St,81,Berry St at 4th St,5280,1,1970,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,4597,2,1979,Female
15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),14,Clay St at Battery St,1936,1,1968,Male
4 minutes,22,Howard St at Beale St,14,Clay St at Battery St,1346,2,1980,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,5573,2,1985,Male
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5529,2,1980,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),1109,3,1985,Male
13 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,4608,2,1985,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,4799,1,1965,Male
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),4575,3,1986,Male
8 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,5400,1,1980,Male
7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),27,Beale St at Harrison St,3385,1,1984,Female
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,183,1,1984,Female
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3088,2,1988,Male
6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5381,3,1991,Female
14 minutes,81,Berry St at 4th St,14,Clay St at Battery St,3048,2,1945,Male
